StoreID,Total_Visits,Avg_Call_Duration,Salesperson_Count,StoreLatitude,StoreLongitude,GeoCluster,Milk,Bread,Cheese,Yogurt,Butter,Cream,IceCream,Ghee,Paneer,Milk_Qty,Bread_Qty,Cheese_Qty,Yogurt_Qty,Butter_Qty,Cream_Qty,IceCream_Qty,Ghee_Qty,Paneer_Qty,Pred_Milk,Pred_Bread,Pred_Cheese,Pred_Yogurt,Pred_Butter,Pred_Cream,Pred_IceCream,Pred_Ghee,Pred_Paneer
S#300-A0107,1,2.0,1,3.8162631,103.3254844,4.0,1,1,0,1,1,0,0,0,1,7,41,0,15,29,0,0,0,29,21.076807731849225,17.603418183068932,11.60474188369898,13.966870875863453,11.64076431249935,8.313337193500352,9.956074924703234,7.91397788417051,10.266835216351042
S#300-A0125,2,2.0,1,3.8162657,103.276533,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.915150847985682,16.579581491274645,10.212092308312279,12.869001472128254,12.213940634919926,7.609686424264748,9.47500381830215,8.002540958098203,11.149565716887984
S#300-B0026,3,4.333333333333333,1,2.628046667,103.0124633,2.0,1,1,0,1,0,0,0,0,1,15,41,0,35,0,0,0,0,22,21.238196608946605,23.882599747474757,6.429642857142853,15.500274891774893,9.184207792207795,2.9761587301587284,4.950645743145742,5.523248376623377,5.593650793650792
S#300-B0044,1,2.0,1,4.26242216,103.42534,4.0,1,0,0,1,0,0,0,0,1,16,0,0,33,0,0,0,0,21,21.076807731849225,17.603418183068932,11.60474188369898,13.966870875863453,11.64076431249935,8.313337193500352,9.956074924703234,7.91397788417051,10.266835216351042
S#300-B0045,2,1.0,1,3.814288333,103.2863883,4.0,1,1,0,0,1,0,0,0,0,8,27,0,0,26,0,0,0,0,20.152709712942894,18.31388706269105,8.296968607028322,11.973273731096477,10.352236111998845,12.101967061614905,10.617441903008972,8.147074453836712,14.064636069137636
S#300-C0011,1,2.0,1,3.816286667,103.276385,4.0,1,1,1,0,1,0,0,0,0,21,48,23,0,16,0,0,0,0,21.076807731849225,17.603418183068932,11.60474188369898,13.966870875863453,11.64076431249935,8.313337193500352,9.956074924703234,7.91397788417051,10.266835216351042
S#300-C0028,1,2.0,1,3.8141804,103.2866213,4.0,1,1,0,1,1,0,0,0,1,33,46,0,13,24,0,0,0,24,21.076807731849225,17.603418183068932,11.60474188369898,13.966870875863453,11.64076431249935,8.313337193500352,9.956074924703234,7.91397788417051,10.266835216351042
S#300-C0037,2,5.5,1,2.6350562,103.0288254,2.0,1,1,0,1,1,0,1,0,1,27,49,0,5,40,0,39,0,44,14.922074175824173,25.919845238095235,0.43511904761904757,19.214597985347986,23.055550366300373,0.16761446886446887,34.280955128205136,24.397134615384612,16.27102655677655
S#300-C0043,2,2.0,1,3.81629171,103.2765696,4.0,1,0,0,1,0,0,0,0,0,19,0,0,44,0,0,0,0,0,23.915150847985682,16.579581491274645,10.212092308312279,12.869001472128254,12.213940634919926,7.609686424264748,9.47500381830215,8.002540958098203,11.149565716887984
S#300-D0041,2,6.0,1,3.7518,103.3051273,4.0,1,0,0,1,1,0,0,0,0,16,0,0,30,15,0,0,0,0,24.64697136197136,9.57204807692308,8.242237040737045,25.475670551670554,7.087127289377289,8.879695623820627,1.95750999000999,6.313371753246752,7.952912323787323
S#300-E0025,2,2.0,1,3.8186477,103.3187914,4.0,1,1,0,1,0,0,0,0,0,37,40,0,27,0,0,0,0,0,23.915150847985682,16.579581491274645,10.212092308312279,12.869001472128254,12.213940634919926,7.609686424264748,9.47500381830215,8.002540958098203,11.149565716887984
S#300-E0036,3,2.0,1,3.818316667,103.27556499999999,4.0,1,0,0,0,0,0,0,0,1,17,0,0,0,0,0,0,0,8,22.422864036498964,15.824768235661931,10.379270346318865,13.68531144479348,12.460553162278051,8.235042121336008,9.197537701983418,8.316837129457504,11.376511944755277
S#300-E0039-1,2,9.0,1,3.8142209,103.286577,4.0,1,0,1,1,1,0,0,1,0,35,0,8,31,10,0,0,15,0,15.966190476190476,7.293529761904758,3.096333333333334,12.195083333333336,5.028333333333334,1.1448749999999999,17.221023809523807,5.974166666666666,0.5333333333333333
S#300-E004,2,1.0,1,3.814265,103.2863883,4.0,1,1,1,0,1,0,0,0,1,14,31,40,0,9,0,0,0,41,20.152709712942894,18.31388706269105,8.296968607028322,11.973273731096477,10.352236111998845,12.101967061614905,10.617441903008972,8.147074453836712,14.064636069137636
S#300-E005,1,1.0,1,3.8141807,103.2865757,4.0,1,1,1,0,0,0,0,0,0,39,10,43,0,0,0,0,0,0,24.1555827928917,15.310040955387356,15.233409573523922,16.824298297077096,10.433228115633424,6.650396302128254,9.504086869822128,6.2626741851895,10.682200527313169
S#300-E006,2,2.0,1,3.8182678,103.2756098,4.0,1,1,0,0,1,1,0,0,0,42,5,0,0,5,27,0,0,0,23.915150847985682,16.579581491274645,10.212092308312279,12.869001472128254,12.213940634919926,7.609686424264748,9.47500381830215,8.002540958098203,11.149565716887984
S#300-F003,3,1.6666666666666667,1,3.818103333,103.2755867,4.0,1,1,1,0,1,0,0,1,0,27,5,5,0,14,0,0,29,0,25.070128887779447,19.872952947183826,10.190648809285122,14.400379822640152,12.137209671840617,6.538906586193997,9.661460015212313,7.944995625631631,9.780655062597596
S#300-G0021,3,2.0,1,2.619723333,103.00358669999999,2.0,1,1,0,0,0,1,1,0,0,17,7,0,0,0,15,6,0,0,22.874146627737865,18.34153422936448,12.625151651926666,12.144413203484737,10.23831448351029,6.55603079960831,9.69378203477129,8.906811588232175,12.1631705903577
S#300-H001,1,2.0,1,3.9100187,103.3488495,4.0,1,1,0,1,0,0,0,0,0,35,12,0,40,0,0,0,0,0,21.076807731849225,17.603418183068932,11.60474188369898,13.966870875863453,11.64076431249935,8.313337193500352,9.956074924703234,7.91397788417051,10.266835216351042
S#300-H0035,3,6.333333333333333,1,3.3767,102.9519567,4.0,1,1,0,0,0,0,1,0,0,43,47,0,0,0,0,31,0,0,29.474235264735263,22.187237873237862,0.1425,17.614508186258185,6.108133727383727,4.223848928848929,15.281543761793763,0.0925,1.4719046786546781
S#300-H004,1,2.0,1,3.816193333,103.2765733,4.0,1,1,0,1,1,0,0,0,0,16,35,0,6,10,0,0,0,0,21.076807731849225,17.603418183068932,11.60474188369898,13.966870875863453,11.64076431249935,8.313337193500352,9.956074924703234,7.91397788417051,10.266835216351042
S#300-H0044,3,2.3333333333333335,1,2.624543333,103.0130833,2.0,1,0,1,1,1,1,0,0,0,27,0,27,23,21,47,0,0,0,22.575242659044918,21.75457478817848,9.461845811817916,14.225401228983596,12.138751624666716,10.295508256229578,13.238293306061419,5.672883489949005,9.42240428079587
S#300-H0045,3,1.6666666666666667,1,2.6284172,103.0125402,2.0,1,1,0,0,1,0,0,0,1,30,36,0,0,7,0,0,0,33,24.296565073689358,19.152477849368946,11.309849313359774,14.33720136313682,13.645931736581213,9.339442625016256,13.729859424671117,7.772801432547402,10.462563648002222
S#300-H0064,1,2.0,1,3.800658333,103.3131217,4.0,0,1,0,0,1,0,0,0,0,0,31,0,0,47,0,0,0,0,21.076807731849225,17.603418183068932,11.60474188369898,13.966870875863453,11.64076431249935,8.313337193500352,9.956074924703234,7.91397788417051,10.266835216351042
S#300-H0065,1,2.0,1,3.8162091,103.2765916,4.0,0,1,0,0,1,0,1,0,1,0,20,0,0,36,0,29,0,30,21.076807731849225,17.603418183068932,11.60474188369898,13.966870875863453,11.64076431249935,8.313337193500352,9.956074924703234,7.91397788417051,10.266835216351042
S#300-H0066,2,2.0,1,3.816258333,103.27664,4.0,1,1,1,0,1,0,0,1,1,23,20,40,0,39,0,0,32,24,23.915150847985682,16.579581491274645,10.212092308312279,12.869001472128254,12.213940634919926,7.609686424264748,9.47500381830215,8.002540958098203,11.149565716887984
S#300-I0017-1,1,2.0,1,3.8142441,103.2866117,4.0,1,1,1,0,0,0,1,0,1,17,44,19,0,0,0,35,0,6,21.076807731849225,17.603418183068932,11.60474188369898,13.966870875863453,11.64076431249935,8.313337193500352,9.956074924703234,7.91397788417051,10.266835216351042
S#300-K001,2,2.0,1,3.8162271,103.2765898,4.0,1,1,0,0,1,0,0,0,0,34,37,0,0,36,0,0,0,0,23.915150847985682,16.579581491274645,10.212092308312279,12.869001472128254,12.213940634919926,7.609686424264748,9.47500381830215,8.002540958098203,11.149565716887984
S#300-K002,2,2.0,1,4.4069516,103.4485662,0.0,1,1,1,0,1,0,1,1,0,5,49,39,0,24,0,30,47,0,22.345045539674096,17.226556922297696,11.138499815909856,13.075344721198594,13.858785505883299,7.174021096350923,10.17809504304775,8.106292797123897,11.169878185552518
S#300-K0020,2,2.0,1,3.818301667,103.2755833,4.0,1,1,1,0,1,1,1,0,1,7,20,34,0,28,48,32,0,49,23.915150847985682,16.579581491274645,10.212092308312279,12.869001472128254,12.213940634919926,7.609686424264748,9.47500381830215,8.002540958098203,11.149565716887984
S#300-K008,2,2.0,1,3.818225,103.275575,4.0,1,1,0,0,1,0,0,0,0,12,40,0,0,29,0,0,0,0,23.915150847985682,16.579581491274645,10.212092308312279,12.869001472128254,12.213940634919926,7.609686424264748,9.47500381830215,8.002540958098203,11.149565716887984
S#300-K0096,1,2.0,1,3.8142554,103.2866041,4.0,1,1,1,1,0,0,0,1,0,30,11,35,24,0,0,0,42,0,21.076807731849225,17.603418183068932,11.60474188369898,13.966870875863453,11.64076431249935,8.313337193500352,9.956074924703234,7.91397788417051,10.266835216351042
S#300-K0099-1,1,2.0,1,3.92468,103.3663967,4.0,1,0,0,0,0,1,0,0,0,13,0,0,0,0,49,0,0,0,21.076807731849225,17.603418183068932,11.60474188369898,13.966870875863453,11.64076431249935,8.313337193500352,9.956074924703234,7.91397788417051,10.266835216351042
S#300-K0111,2,1.0,1,3.80111409,103.2636716,4.0,0,1,0,1,0,0,0,0,0,0,44,0,42,0,0,0,0,0,20.152709712942894,18.31388706269105,8.296968607028322,11.973273731096477,10.352236111998845,12.101967061614905,10.617441903008972,8.147074453836712,14.064636069137636
S#300-K0113,3,1.6666666666666667,1,3.231671667,103.43779,4.0,1,1,1,0,1,0,1,1,1,47,47,13,0,32,0,47,32,28,25.070128887779447,19.872952947183826,10.190648809285122,14.400379822640152,12.137209671840617,6.538906586193997,9.661460015212313,7.944995625631631,9.780655062597596
S#300-K0175,1,2.0,1,3.931906667,103.3669067,4.0,1,1,0,0,0,0,0,0,0,18,32,0,0,0,0,0,0,0,21.076807731849225,17.603418183068932,11.60474188369898,13.966870875863453,11.64076431249935,8.313337193500352,9.956074924703234,7.91397788417051,10.266835216351042
S#300-K0182,2,1.5,1,3.744418333,103.1881283,4.0,1,0,0,1,1,0,1,1,0,21,0,0,27,10,0,37,36,0,22.519486554028482,19.918833661006747,10.565305277090301,14.073130180065263,10.67533113537008,7.572066543993325,9.748822793661116,7.927961077929902,13.92000294999331
S#300-K0203,2,2.0,1,3.816098333,103.2766483,4.0,1,1,1,0,1,0,0,0,0,11,20,26,0,40,0,0,0,0,23.915150847985682,16.579581491274645,10.212092308312279,12.869001472128254,12.213940634919926,7.609686424264748,9.47500381830215,8.002540958098203,11.149565716887984
S#300-L0005,2,5.5,1,3.559568333,103.3831417,4.0,1,0,0,0,0,0,0,1,1,44,0,0,0,0,0,0,26,31,36.86291083140716,16.421575956014234,7.241458878947848,20.568932474839404,7.179014221287831,12.309053660348932,3.7734405272874687,6.387755611326237,7.919806030721085
S#300-L0019,2,1.5,1,3.751695,103.3053967,4.0,1,0,0,1,1,0,0,0,0,6,0,0,48,27,0,0,0,0,22.519486554028482,19.918833661006747,10.565305277090301,14.073130180065263,10.67533113537008,7.572066543993325,9.748822793661116,7.927961077929902,13.92000294999331
S#300-L002,1,2.0,1,3.75580815,103.3089211,4.0,0,1,0,0,0,1,1,0,1,0,40,0,0,0,26,13,0,28,21.076807731849225,17.603418183068932,11.60474188369898,13.966870875863453,11.64076431249935,8.313337193500352,9.956074924703234,7.91397788417051,10.266835216351042
S#300-L0025,1,2.0,1,4.183196667,103.4312983,4.0,1,1,0,0,0,1,0,1,1,12,9,0,0,0,28,0,49,34,21.076807731849225,17.603418183068932,11.60474188369898,13.966870875863453,11.64076431249935,8.313337193500352,9.956074924703234,7.91397788417051,10.266835216351042
S#300-M0091,1,2.0,1,3.964336667,103.3831883,4.0,0,1,0,0,0,1,0,0,1,0,17,0,0,0,12,0,0,24,21.076807731849225,17.603418183068932,11.60474188369898,13.966870875863453,11.64076431249935,8.313337193500352,9.956074924703234,7.91397788417051,10.266835216351042
S#300-M0111,1,2.0,1,3.894486667,103.3389667,4.0,0,1,1,0,1,1,1,0,1,0,10,23,0,21,44,15,0,14,21.076807731849225,17.603418183068932,11.60474188369898,13.966870875863453,11.64076431249935,8.313337193500352,9.956074924703234,7.91397788417051,10.266835216351042
S#300-M0113,1,0.0,1,3.7436104,103.3150007,4.0,1,1,0,0,1,1,0,0,0,22,12,0,0,30,47,0,0,0,28.93538086994707,17.93934790291408,16.409144610699762,17.320775577363815,11.758715182285039,13.04808837730896,16.02873403965316,4.550161954875191,0.0
S#300-M0114,1,2.0,1,3.318258333,103.0189167,4.0,0,1,1,1,1,0,0,1,0,0,13,22,19,45,0,0,49,0,21.076807731849225,17.603418183068932,11.60474188369898,13.966870875863453,11.64076431249935,8.313337193500352,9.956074924703234,7.91397788417051,10.266835216351042
S#300-M0120,2,2.0,1,3.8126001,103.2972365,4.0,1,1,0,1,0,0,0,0,1,6,21,0,45,0,0,0,0,44,23.915150847985682,16.579581491274645,10.212092308312279,12.869001472128254,12.213940634919926,7.609686424264748,9.47500381830215,8.002540958098203,11.149565716887984
S#300-M0123,2,1.0,1,3.75172,103.30536,4.0,1,1,1,1,0,0,1,0,0,6,6,17,24,0,0,26,0,0,20.152709712942894,18.31388706269105,8.296968607028322,11.973273731096477,10.352236111998845,12.101967061614905,10.617441903008972,8.147074453836712,14.064636069137636
S#300-M0141,2,2.0,1,3.8141807,103.2866212,4.0,1,0,1,1,1,0,0,1,1,7,0,33,8,6,0,0,38,11,23.915150847985682,16.579581491274645,10.212092308312279,12.869001472128254,12.213940634919926,7.609686424264748,9.47500381830215,8.002540958098203,11.149565716887984
S#300-M0144,1,2.0,1,4.34062396,103.475622,4.0,1,1,0,1,0,0,0,0,1,33,14,0,18,0,0,0,0,16,21.076807731849225,17.603418183068932,11.60474188369898,13.966870875863453,11.64076431249935,8.313337193500352,9.956074924703234,7.91397788417051,10.266835216351042
S#300-M0148,1,2.0,1,3.8161947,103.2765889,4.0,1,0,1,1,1,0,0,0,0,11,0,30,41,9,0,0,0,0,21.076807731849225,17.603418183068932,11.60474188369898,13.966870875863453,11.64076431249935,8.313337193500352,9.956074924703234,7.91397788417051,10.266835216351042
S#300-N0014,8,7.75,1,3.745646576,103.2648371,4.0,1,0,1,1,0,1,0,0,0,34,0,39,26,0,29,0,0,0,30.56833333333333,7.3525,28.255,25.130000000000006,5.641,20.855166666666666,1.4141666666666666,0.88875,9.478333333333332
S#300-N002,1,2.0,1,3.8141671,103.2865772,4.0,1,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,21.076807731849225,17.603418183068932,11.60474188369898,13.966870875863453,11.64076431249935,8.313337193500352,9.956074924703234,7.91397788417051,10.266835216351042
S#300-N0024,7,8.285714285714286,1,3.756116519,103.2048862,4.0,1,0,0,0,0,0,0,0,1,21,0,0,0,0,0,0,0,25,18.81925,7.58,4.25375,4.8325,3.91925,2.3075,2.7127499999999998,1.535,23.78
S#300-N0028,6,5.833333333333333,1,3.906245,103.346225,4.0,1,1,1,1,1,0,0,1,0,21,28,13,9,39,0,0,48,0,21.388083333333334,20.83583333333333,11.159666666666666,12.054583333333335,28.491500000000002,3.5725,8.891666666666667,34.47541666666667,3.8415
S#300-N0059,1,2.0,1,3.81784,103.30581,4.0,1,1,1,1,0,0,1,0,1,21,23,17,30,0,0,45,0,31,21.076807731849225,17.603418183068932,11.60474188369898,13.966870875863453,11.64076431249935,8.313337193500352,9.956074924703234,7.91397788417051,10.266835216351042
S#300-N0076,1,2.0,1,4.498501,103.4350827,0.0,1,1,0,0,0,0,0,1,0,37,11,0,0,0,0,0,41,0,22.89683750657004,18.681767966307415,9.90723168454334,14.03745993105785,12.549064780833966,8.195406974826412,8.753001417421208,7.517837208718378,10.953027544948505
S#300-O0011,3,2.0,1,3.8296766669999998,103.3424733,4.0,1,1,0,1,0,1,1,0,0,46,34,0,5,0,13,6,0,0,22.422864036498964,15.824768235661931,10.379270346318865,13.68531144479348,12.460553162278051,8.235042121336008,9.197537701983418,8.316837129457504,11.376511944755277
S#300-P001,1,2.0,1,4.25513,103.4059633,4.0,1,0,0,1,0,1,1,0,1,39,0,0,22,0,36,47,0,38,21.076807731849225,17.603418183068932,11.60474188369898,13.966870875863453,11.64076431249935,8.313337193500352,9.956074924703234,7.91397788417051,10.266835216351042
S#300-P0017-1,1,2.0,1,3.814065,103.2863217,4.0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0,0,0,0,21.076807731849225,17.603418183068932,11.60474188369898,13.966870875863453,11.64076431249935,8.313337193500352,9.956074924703234,7.91397788417051,10.266835216351042
S#300-P0038,3,6.0,1,3.818636667,103.3187833,4.0,1,1,1,1,0,1,0,1,0,43,9,16,23,0,47,0,20,0,27.560972222222226,19.405969474969474,12.078948412698415,9.799099206349206,12.971833333333336,29.011210317460314,0.3372916666666667,14.338059523809529,20.61598702686203
S#300-P004,1,1.0,1,3.7516786,103.3046804,4.0,1,1,0,1,0,0,0,0,1,41,31,0,32,0,0,0,0,34,24.1555827928917,15.310040955387356,15.233409573523922,16.824298297077096,10.433228115633424,6.650396302128254,9.504086869822128,6.2626741851895,10.682200527313169
S#300-P006,3,2.3333333333333335,1,3.816138333,103.2766767,4.0,1,1,0,1,0,0,1,0,1,24,26,0,28,0,0,35,0,14,17.68906234798645,15.35724228309455,12.356332239402667,8.595144249415569,15.834563209822232,4.3977556575790855,14.61067133093363,5.554926370250797,7.112426186994719
S#300-P0065,4,6.25,1,4.217715,103.4244833,4.0,1,1,1,0,0,0,0,0,1,42,17,20,0,0,0,0,0,31,37.93726731601732,25.04817316017316,12.945468253968247,11.593630952380952,12.3425,11.444993589743593,17.388101190476185,0.235,10.622859584859585
S#300-P0071,1,2.0,1,3.816128333,103.2766467,4.0,1,1,0,0,0,1,1,1,0,30,15,0,0,0,49,44,40,0,21.076807731849225,17.603418183068932,11.60474188369898,13.966870875863453,11.64076431249935,8.313337193500352,9.956074924703234,7.91397788417051,10.266835216351042
S#300-P0077,2,2.0,1,3.829238333,103.27182,4.0,1,1,0,0,0,0,0,0,1,9,25,0,0,0,0,0,0,5,23.915150847985682,16.579581491274645,10.212092308312279,12.869001472128254,12.213940634919926,7.609686424264748,9.47500381830215,8.002540958098203,11.149565716887984
S#300-P008,1,2.0,1,3.8186597,103.3188828,4.0,1,0,0,0,1,0,0,0,0,43,0,0,0,11,0,0,0,0,21.076807731849225,17.603418183068932,11.60474188369898,13.966870875863453,11.64076431249935,8.313337193500352,9.956074924703234,7.91397788417051,10.266835216351042
S#300-P0085,4,1.0,1,3.7339969,103.2686926,4.0,1,1,0,0,0,0,1,0,0,33,10,0,0,0,0,37,0,0,26.906771825396827,22.704611111111106,1.2629401709401709,1.706392857142857,2.015787240537241,8.529312271062272,18.73023076923077,1.2446011904761904,1.981666666666667
S#300-P0086,5,5.2,1,3.537155,103.38522170000002,4.0,1,0,0,1,1,0,0,0,0,18,0,0,30,30,0,0,0,0,19.872333333333337,7.0085000000000015,0.825595238095238,24.446738095238093,24.895119047619048,6.3307142857142855,4.505416666666667,5.448154761904761,1.3215000000000001
S#300-P0094,4,2.0,1,3.537205,103.3852,4.0,1,1,0,1,1,0,0,0,0,33,42,0,37,26,0,0,0,0,21.839049912651877,17.643005859803935,11.571527349507775,13.501425637405275,11.978308041671468,9.268321795018894,8.598815697470114,9.410084999296252,10.055004074854772
S#300-P0098,4,2.0,1,3.867015563,103.2525609,4.0,0,0,0,0,1,1,0,1,0,0,0,0,0,32,22,0,33,0,21.839049912651877,17.643005859803935,11.571527349507775,13.501425637405275,11.978308041671468,9.268321795018894,8.598815697470114,9.410084999296252,10.055004074854772
S#300-Q0003-1,1,2.0,1,3.8275071,103.3386488,4.0,1,1,1,0,0,0,0,0,0,43,15,7,0,0,0,0,0,0,21.076807731849225,17.603418183068932,11.60474188369898,13.966870875863453,11.64076431249935,8.313337193500352,9.956074924703234,7.91397788417051,10.266835216351042
S#300-R0014,1,2.0,1,3.8142526,103.2866,4.0,1,0,1,1,1,1,0,0,1,42,0,46,39,40,39,0,0,12,21.076807731849225,17.603418183068932,11.60474188369898,13.966870875863453,11.64076431249935,8.313337193500352,9.956074924703234,7.91397788417051,10.266835216351042
S#300-R005,3,1.6666666666666667,1,3.7079283000000003,103.12345139999998,4.0,1,0,0,0,1,1,1,1,0,19,0,0,0,39,40,41,29,0,25.070128887779447,19.872952947183826,10.190648809285122,14.400379822640152,12.137209671840617,6.538906586193997,9.661460015212313,7.944995625631631,9.780655062597596
S#300-R0079,2,10.0,1,2.634658,103.0305379,2.0,1,1,0,1,0,0,1,0,1,46,44,0,35,0,0,37,0,9,22.903195887445886,17.472271645021646,0.03,16.671471861471865,4.698495670995672,0.0,21.172840909090915,13.006536796536793,11.563288419913421
S#300-S002,3,1.0,1,3.2090719,103.44327270000001,4.0,1,1,1,1,1,0,0,0,0,6,31,44,38,16,0,0,0,0,16.054226731601737,21.524526362526363,12.287208465145973,15.256538766788765,14.411263569763571,3.7949788267288254,9.08385653929404,6.404402472527472,6.218750235875241
S#300-S0043,2,2.0,1,3.2077328,103.4441065,4.0,1,0,0,1,0,0,0,0,0,8,0,0,15,0,0,0,0,0,23.915150847985682,16.579581491274645,10.212092308312279,12.869001472128254,12.213940634919926,7.609686424264748,9.47500381830215,8.002540958098203,11.149565716887984
S#300-S0076,1,1.0,1,3.7438682,103.2046745,4.0,1,1,1,0,0,0,0,1,1,24,13,39,0,0,0,0,37,20,24.1555827928917,15.310040955387356,15.233409573523922,16.824298297077096,10.433228115633424,6.650396302128254,9.504086869822128,6.2626741851895,10.682200527313169
S#300-S0095,1,2.0,1,3.81259179,103.2972355,4.0,0,1,1,1,1,0,1,1,1,0,44,14,13,39,0,30,26,15,21.076807731849225,17.603418183068932,11.60474188369898,13.966870875863453,11.64076431249935,8.313337193500352,9.956074924703234,7.91397788417051,10.266835216351042
S#300-S0104,1,2.0,1,3.903296122,103.351818,4.0,1,1,0,0,1,0,1,0,1,22,24,0,0,6,0,45,0,16,21.076807731849225,17.603418183068932,11.60474188369898,13.966870875863453,11.64076431249935,8.313337193500352,9.956074924703234,7.91397788417051,10.266835216351042
S#300-S012,1,2.0,1,3.8141498,103.2865785,4.0,1,0,0,1,1,1,1,0,0,46,0,0,41,7,35,13,0,0,21.076807731849225,17.603418183068932,11.60474188369898,13.966870875863453,11.64076431249935,8.313337193500352,9.956074924703234,7.91397788417051,10.266835216351042
S#300-S0128,1,2.0,1,3.8217429,103.3012236,4.0,1,0,0,0,1,0,0,0,1,10,0,0,0,41,0,0,0,23,21.076807731849225,17.603418183068932,11.60474188369898,13.966870875863453,11.64076431249935,8.313337193500352,9.956074924703234,7.91397788417051,10.266835216351042
S#300-T002,1,2.0,1,3.8162406,103.2765985,4.0,1,1,0,1,0,0,0,0,1,26,41,0,8,0,0,0,0,20,21.076807731849225,17.603418183068932,11.60474188369898,13.966870875863453,11.64076431249935,8.313337193500352,9.956074924703234,7.91397788417051,10.266835216351042
S#300-T003,3,5.666666666666667,1,3.8182166999999994,103.2755025,4.0,1,1,1,0,0,0,0,0,1,16,36,29,0,0,0,0,0,18,30.250935051060054,16.439267558830057,8.790465000277498,20.33049050949052,4.851274038461539,3.872469905094904,8.684875437062937,11.753582445332443,10.927643370518371
S#300-T004,2,8.0,1,3.8161375,103.2766467,4.0,1,0,1,0,1,1,0,0,1,10,0,17,0,11,23,0,0,48,26.337270562770556,13.782129148629144,8.525883116883119,3.3950369769119773,12.825364177489176,13.590876262626262,2.3910021645021646,0.19944444444444442,17.225849206349196
S#300-T0041,5,13.0,1,3.8338983329999996,103.29982,4.0,1,0,0,0,1,0,1,1,0,18,0,0,0,40,0,36,20,0,23.166666666666664,7.25,1.53375,1.72,28.849,3.825,27.535,16.4875,0.76
